,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM969123,9.042621485,9.643537456,5.368599151,9.452142966,9.337107023,11.37635374,5.619505521,9.812982866,10.20263393,10.26720923,9.122624023,9.881810642,6.262162842,10.12933386,8.314819688,12.05392965,13.43697612,9.988214636,12.68308442,12.9081621,8.193955664,7.979929628,5.267009343,9.195047537,12.50504426,8.413310675,9.373190736,7.720269747,9.172995401,8.785293437,8.355276764,9.233185785,7.837580386,4.242168651,6.660219598,10.7937856,7.492554609,6.559548425,7.507096217,9.913839107,10.94683263,15:06
GSM969124,9.593611184,9.579528254,5.308867121,9.797960293,9.443299207,11.48519144,5.883563811,10.08544536,10.16558218,9.472337294,9.074215545,10.30381067,5.863493921,10.10001477,7.969349226,12.12497698,13.97882479,10.40646441,12.5987551,12.39478737,8.438442357,8.713947941,5.683188076,9.33255935,12.556314,8.985918144,9.159643693,7.61587405,9.068235542,9.477598301,8.2275362,9.085789124,8.268421492,4.180350962,7.356488601,9.287049454,7.205880024,6.882198037,8.073316551,9.885966063,10.62197883,14:05
GSM969125,9.386262857,9.701096384,5.42720774,9.323576862,9.190858328,11.39013731,5.608122643,9.81442394,10.53953917,9.586703137,8.890150823,10.56445271,6.146624329,9.627070444,8.032977619,11.71012011,13.86366905,10.37016567,12.36807068,12.35739353,8.292684511,8.554961305,5.738372558,9.379051302,12.64660643,8.633441987,9.38234143,7.713946889,9.144598559,9.285033373,8.31616614,9.177183462,8.048476355,4.196745812,6.772354467,9.290033318,7.38996761,6.566432777,7.822004616,9.697505211,10.57242837,17:05
GSM969126,9.180605806,9.630061676,5.560405599,9.260332115,9.033476102,11.65492221,5.551313021,9.965656762,10.40917075,9.968965224,8.937718635,10.51876883,6.679137503,10.17812391,8.000455413,11.75670594,13.98368965,10.35053942,12.87294871,12.74687978,8.360317989,8.618983825,5.521471012,9.454551331,12.75582528,8.484181339,9.195796648,7.384642911,9.123619076,9.283065944,8.510033504,9.296762123,7.765345861,4.736640371,7.129546791,10.11863138,7.671909215,6.549788203,8.266421214,9.642717766,10.94258782,20:05
GSM969127,9.315744187,9.569051095,5.221187399,9.32150328,9.15162031,11.59250657,5.42433851,10.08111124,9.952118272,9.852068852,8.945336448,10.40781552,6.213423031,9.637806452,7.824004505,11.93799515,13.26237619,10.23953123,12.7629247,12.45680583,8.096481143,8.453750641,5.64845673,9.440419249,12.45520449,8.76327604,9.471588712,7.641515235,9.011626419,9.23562586,8.305844968,9.157931394,7.884988934,4.331740651,6.842081801,9.761249899,7.512835472,6.464488055,7.805899806,9.862178575,10.73514763,23:05
GSM969128,9.641127406,9.375712824,5.221981646,9.220068419,9.087729924,11.49201415,5.396756769,10.10899626,10.38164132,9.64434567,8.927966336,10.67387899,6.060879905,9.764044638,7.975763018,11.59250657,13.08612582,10.42531739,12.31291409,12.20560643,8.279549313,8.65555869,5.532531021,9.315475134,12.51416107,9.044289569,9.562624206,7.667687887,9.130100729,9.361252292,8.5933445,9.328797899,8.07771931,4.387651922,6.603638183,9.763731887,7.381969741,6.396998269,7.834922506,9.761249899,10.53459257,2:05
GSM969129,9.716955672,9.664199195,5.012206826,9.644917722,9.048161884,10.84166894,5.598680224,9.975481574,10.28628238,9.505774373,9.188453858,10.7520766,6.009867853,9.579235321,7.910145566,11.87474427,13.43946967,10.74483359,11.97893423,11.9880878,8.219773244,8.421916441,6.015469723,9.417122202,12.30771583,8.804665129,9.431118591,7.775584751,9.243725459,9.609105267,8.307873209,9.172233571,7.933385662,4.582939473,6.864901097,10.09761223,7.175415441,6.334343141,8.161642965,9.382634614,10.50545041,5:05
GSM969130,9.351320306,9.874205465,5.381722897,9.153533886,9.155935481,11.27406859,5.21417845,10.07828107,10.87375313,9.681628679,8.781352882,10.4246303,5.876204781,9.970136273,8.069545872,11.52191509,13.61279812,10.18539566,12.71023103,12.36269127,8.033861635,8.471521531,5.480343267,9.410987566,12.40984473,8.717715339,9.465528777,7.526965283,8.825133866,9.114560603,8.658069571,9.487751893,7.764451974,4.332349593,6.565739804,9.671291293,7.289538939,6.427476917,7.922272064,9.776196842,10.66531274,8:05
GSM969131,9.447533814,9.234139564,5.581238462,9.664199195,9.250886433,11.535705,5.661986562,10.04053556,10.74483359,9.660719264,8.967567812,10.22590586,6.115765696,9.975481574,7.858810904,11.87045423,13.82244548,10.28392459,13.01988504,12.23654444,8.252149208,8.743419916,5.501712741,9.428550048,12.47573974,8.914181183,8.823290497,7.586093182,9.16593389,9.446194227,8.682081483,9.433752217,8.041683603,4.569579267,7.279301297,9.887946403,7.389320782,6.816098777,7.890568408,10.02700974,10.71063848,11:06
GSM969132,9.341126649,9.293338105,5.459501145,9.315995057,9.335130551,11.78939362,5.58047627,9.995465907,10.33338436,9.91975024,8.858289978,10.18221929,5.849156933,9.941999435,7.988266963,11.87412365,14.08233071,10.2223557,12.94238545,12.613167,8.528167358,8.76120119,5.224389866,9.420483266,12.725436,8.928454122,8.8798061,7.607347933,9.15988711,9.259780422,8.585437388,9.479160236,8.012908826,4.417241328,7.101253877,9.656879435,7.412243482,6.890871996,7.612987473,9.977841451,10.74408025,14:11
GSM969133,9.15162031,9.634009646,5.246813023,9.247706864,9.100525392,11.58215619,5.644347082,9.865658348,10.68166233,9.559710099,8.969741476,10.08728405,5.778023696,9.964464325,8.07289764,11.72042491,13.9225752,10.70947672,12.66234598,12.66788481,8.417159595,8.542120618,5.403019078,9.315203899,12.47901804,8.712143513,9.237639396,7.72247269,9.31497301,9.041652118,8.567462997,9.242989834,7.703416151,4.769828666,7.224104739,9.571466561,7.341809976,6.560440721,7.82834141,9.658248711,10.76081248,17:05
GSM969134,8.690811505,8.7246729,5.935275511,9.612922475,8.539871145,13.28112557,5.77555763,9.337107023,9.994860545,11.30834517,8.597255219,10.12529903,6.026725067,10.86203133,8.522661557,12.19084821,13.0529214,9.93995144,14.0386059,13.19152656,7.96647723,9.261329501,6.076482858,9.576025193,12.26785816,8.115779127,8.493830813,7.895839557,8.618741558,9.999631844,8.072659913,9.991582467,7.55509091,5.156983066,7.781039064,9.698631231,7.856394801,6.545140015,8.266874117,10.01942159,11.80057928,15:17
GSM969135,8.89196496,9.078701863,5.733787465,9.720318361,8.639209569,12.99045374,5.941679288,9.688550079,10.25442934,11.33614014,8.558804749,10.31743102,5.745619931,10.81993947,8.304925918,12.34537795,12.80601123,9.691846798,13.94013993,13.0153175,7.584994418,9.516001175,6.226465687,9.350950087,12.34610705,8.19488283,9.028980459,7.977309145,8.721348852,10.20488029,8.105075469,9.532284795,7.983630651,4.709307575,7.727947008,9.503449396,7.575734376,7.082120348,8.151393362,9.79993405,11.70508008,18:15
